Engine Speed (rpm),Torque (ft-lb),Exh Mdot (kg/min),Cool Vdot (GPM),Turbo Out T,HX Exh In T,HX Exh Out T,HX Exh delta P (2 in WC),HX Cool 1 In T,HX Cool 1 Out T,HX Cool 1 delta P,HX Cool 2 In T,HX Cool 2 Out T,HX Cool 2 delta P
1210,33,4.6,6.9,,131.5,119.5,0.7,28.1,28.6,,28.4,28.9,
1200,156,4.9,7.1,,239,211.6,0.9,28.2,28.9,,28.5,29.6,
1620,133,6.9,6.9,,244.5,220.8,1,28.1,28.9,,28.4,29.8,
1570,275,7.5,7.1,,360.9,321.6,2.2,27.8,29.1,,28.3,30.4,
,,10.9,7.1,,375.6,348.7,4.6,27.6,29.1,,28.2,30.8,
