Engine Speed (rpm),Torque (ft-lb),Exh Mdot (kg/min),Cool Vdot (GPM),Turbo Out T,HX Exh In T,HX Exh Out T,HX Exh delta P (2 in WC),HX Cool 1 In T,HX Cool 1 Out T,HX Cool 1 delta P,HX Cool 2 In T,HX Cool 2 Out T,HX Cool 2 delta P
1240,33,4.7,1,,135,134.1,0.25,300.1,300.1,,300.1,300.1,
1340,35,5.2,1,,139,132.2,0.3,301.1,301.1,,301.1,301.1,
1450,37,5.9,1,,143.3,131.9,0.3,302.1,302.1,,302.1,302.1,
1560,39,6.5,1,,148.2,132.7,0.35,303.1,303.1,,303.1,303.1,
1730,40,7.45,1,,154.4,135.2,0.5,304.1,304.1,,304.1,304.1,
1870,40,8.3,1,,159.4,139.6,0.6,305.1,305.1,,305.1,305.1,
1960,39,8.9,1.1,,170.5,148.6,0.75,306.1,306.1,,306.1,306.1,
